tid,chembl_id
10054,CHEMBL2161
10055,CHEMBL2469
10056,CHEMBL3142
10057,CHEMBL2470
10058,CHEMBL3719
10059,CHEMBL3313
10062,CHEMBL3423
10068,CHEMBL2442
10069,CHEMBL2443
10073,CHEMBL1796
10074,CHEMBL4068
10075,CHEMBL2626
10076,CHEMBL2163
10078,CHEMBL2446
10080,CHEMBL3583
10081,CHEMBL3314
10083,CHEMBL2164
10086,CHEMBL2574
10087,CHEMBL2447
10088,CHEMBL2448
10089,CHEMBL4647
10090,CHEMBL4976
10092,CHEMBL2465
10093,CHEMBL2167
10094,CHEMBL2329
10095,CHEMBL2575
10096,CHEMBL2576
10100,CHEMBL2940
10101,CHEMBL2120
10102,CHEMBL4550
10103,CHEMBL2121
10105,CHEMBL4137
10108,CHEMBL4769
10109,CHEMBL2578
10110,CHEMBL4830
22226,CHEMBL612545
10113,CHEMBL2978
10115,CHEMBL4886
10116,CHEMBL2882
10117,CHEMBL4831
10118,CHEMBL4832
10119,CHEMBL4609
10120,CHEMBL3961
10121,CHEMBL4551
10123,CHEMBL4833
10124,CHEMBL2077
10125,CHEMBL2883
10127,CHEMBL4834
10131,CHEMBL2334
10132,CHEMBL2079
10133,CHEMBL3429
10138,CHEMBL3514
10139,CHEMBL2885
10140,CHEMBL258
10141,CHEMBL4835
10142,CHEMBL259
10143,CHEMBL4877
10144,CHEMBL3898
10146,CHEMBL4923
10147,CHEMBL4878
10148,CHEMBL4879
10149,CHEMBL3855
10150,CHEMBL2360
10151,CHEMBL4872
10152,CHEMBL2886
10154,CHEMBL4880
10155,CHEMBL3167
10157,CHEMBL2887
10158,CHEMBL2081
10160,CHEMBL4116
10161,CHEMBL4881
10163,CHEMBL3721
10167,CHEMBL2888
10168,CHEMBL4589
10170,CHEMBL3959
10174,CHEMBL4798
10177,CHEMBL3421
10178,CHEMBL2985
10179,CHEMBL4883
10183,CHEMBL1853
10184,CHEMBL2327
10185,CHEMBL3589
10186,CHEMBL3025
10187,CHEMBL4884
10188,CHEMBL260
10189,CHEMBL2083
10190,CHEMBL4894
10191,CHEMBL4938
10192,CHEMBL2084
10193,CHEMBL261
10197,CHEMBL262
10198,CHEMBL4306
10199,CHEMBL4940
10200,CHEMBL2085
10201,CHEMBL4941
10205,CHEMBL4942
10206,CHEMBL2392
10207,CHEMBL2918
10208,CHEMBL4943
10209,CHEMBL3155
22228,CHEMBL612546
10210,CHEMBL3143
10212,CHEMBL2450
10213,CHEMBL3517
10216,CHEMBL3438
10218,CHEMBL4861
10220,CHEMBL4862
10221,CHEMBL4706
10222,CHEMBL3782
10223,CHEMBL4039
10226,CHEMBL4707
10227,CHEMBL2064
10230,CHEMBL2452
10233,CHEMBL4827
10234,CHEMBL2170
10235,CHEMBL2171
10244,CHEMBL3776
10245,CHEMBL2361
10247,CHEMBL4615
10250,CHEMBL2428
10252,CHEMBL2216
10253,CHEMBL2423
10254,CHEMBL2429
10255,CHEMBL2172
10256,CHEMBL2173
10257,CHEMBL2430
10258,CHEMBL3807
10260,CHEMBL4794
10262,CHEMBL2426
10264,CHEMBL4142
10266,CHEMBL3650
10270,CHEMBL2175
10271,CHEMBL2176
10273,CHEMBL263
10274,CHEMBL3066
10275,CHEMBL4824
10276,CHEMBL3847
10277,CHEMBL4708
10278,CHEMBL2424
10279,CHEMBL2131
10280,CHEMBL264
10283,CHEMBL3707
10285,CHEMBL2132
10287,CHEMBL3287
10288,CHEMBL4711
10290,CHEMBL2133
10292,CHEMBL2149
10294,CHEMBL5373
10295,CHEMBL4778
10296,CHEMBL2479
10297,CHEMBL2480
10298,CHEMBL3465
10300,CHEMBL3266
10303,CHEMBL3708
10304,CHEMBL265
10306,CHEMBL2151
10307,CHEMBL2483
10308,CHEMBL3709
10309,CHEMBL4828
10310,CHEMBL4759
10311,CHEMBL2095
10312,CHEMBL4799
10314,CHEMBL2388
10315,CHEMBL3222
10320,CHEMBL2474
10323,CHEMBL3419
10324,CHEMBL2389
10326,CHEMBL2390
10328,CHEMBL2391
10329,CHEMBL3710
10330,CHEMBL3351
10331,CHEMBL2335
10332,CHEMBL3775
10338,CHEMBL2105
10341,CHEMBL2393
10342,CHEMBL2096
10346,CHEMBL2110
10347,CHEMBL2733
10348,CHEMBL2395
10351,CHEMBL4944
10352,CHEMBL2587
10353,CHEMBL2097
10354,CHEMBL4945
10355,CHEMBL4466
10356,CHEMBL3994
10358,CHEMBL2363
10359,CHEMBL4467
10360,CHEMBL4468
10362,CHEMBL3398
10364,CHEMBL266
10368,CHEMBL2828
10370,CHEMBL4947
10371,CHEMBL4948
10372,CHEMBL3409
10373,CHEMBL2099
10374,CHEMBL4949
10377,CHEMBL2100
10378,CHEMBL4072
10381,CHEMBL2475
10382,CHEMBL2101
10394,CHEMBL4469
10396,CHEMBL4121
10397,CHEMBL2476
10399,CHEMBL2364
10401,CHEMBL4470
10402,CHEMBL2501
10403,CHEMBL4471
10405,CHEMBL2502
10407,CHEMBL4472
10410,CHEMBL2104
10412,CHEMBL2503
10416,CHEMBL2504
10417,CHEMBL4805
10419,CHEMBL2365
10420,CHEMBL2845
10424,CHEMBL2505
10426,CHEMBL3875
10427,CHEMBL2506
10429,CHEMBL3595
10432,CHEMBL2106
10434,CHEMBL267
10436,CHEMBL4779
10437,CHEMBL4780
10438,CHEMBL4074
10439,CHEMBL4781
10440,CHEMBL4782
10441,CHEMBL3768
10442,CHEMBL3548
10443,CHEMBL3769
10444,CHEMBL2366
10445,CHEMBL5131
10446,CHEMBL2865
10447,CHEMBL3770
10449,CHEMBL2367
10450,CHEMBL3771
10451,CHEMBL3562
10452,CHEMBL3563
10453,CHEMBL2368
10454,CHEMBL3564
10455,CHEMBL4614
10456,CHEMBL3963
10457,CHEMBL2425
10458,CHEMBL2902
10459,CHEMBL3565
10460,CHEMBL1926
10461,CHEMBL3413
10462,CHEMBL3868
10463,CHEMBL2757
10464,CHEMBL3840
10466,CHEMBL2798
10467,CHEMBL3569
10468,CHEMBL3226
10469,CHEMBL4636
10472,CHEMBL1901
10473,CHEMBL2107
10474,CHEMBL2108
10475,CHEMBL4777
10476,CHEMBL2754
10477,CHEMBL4018
10478,CHEMBL2109
10480,CHEMBL2508
10483,CHEMBL4632
10485,CHEMBL3570
10486,CHEMBL2514
10487,CHEMBL5106
10489,CHEMBL2516
10491,CHEMBL2112
10493,CHEMBL2517
10494,CHEMBL4071
10495,CHEMBL268
10496,CHEMBL3034
10497,CHEMBL2113
10498,CHEMBL3837
10501,CHEMBL3037
10502,CHEMBL3571
10503,CHEMBL2421
10505,CHEMBL2088
10506,CHEMBL3038
10509,CHEMBL3040
10511,CHEMBL4478
10513,CHEMBL2529
10514,CHEMBL3762
10515,CHEMBL4132
10517,CHEMBL3572
10518,CHEMBL2093
10520,CHEMBL2412
10522,CHEMBL3610
10526,CHEMBL269
10527,CHEMBL3614
10528,CHEMBL3041
10529,CHEMBL270
10530,CHEMBL3621
10531,CHEMBL2527
10532,CHEMBL1914
10533,CHEMBL2528
10535,CHEMBL2094
10536,CHEMBL2530
10537,CHEMBL2531
10538,CHEMBL2495
10539,CHEMBL2122
10540,CHEMBL2496
10541,CHEMBL2123
10542,CHEMBL3911
10543,CHEMBL2124
10544,CHEMBL4315
10545,CHEMBL2497
10547,CHEMBL2413
10548,CHEMBL3473
10549,CHEMBL3996
10550,CHEMBL2498
10551,CHEMBL2499
10552,CHEMBL2086
10553,CHEMBL4633
10554,CHEMBL4818
10558,CHEMBL4906
10559,CHEMBL3399
10560,CHEMBL4966
10561,CHEMBL4605
10563,CHEMBL2437
10564,CHEMBL4820
10565,CHEMBL2152
10566,CHEMBL2438
10567,CHEMBL2439
10568,CHEMBL2440
10569,CHEMBL271
10572,CHEMBL272
10574,CHEMBL2749
10575,CHEMBL2649
10576,CHEMBL273
10577,CHEMBL3459
10578,CHEMBL5450
10579,CHEMBL2414
10580,CHEMBL274
10581,CHEMBL2441
10582,CHEMBL3816
10583,CHEMBL4425
10584,CHEMBL3474
10585,CHEMBL2154
10586,CHEMBL3993
10587,CHEMBL4127
10588,CHEMBL3475
10589,CHEMBL2155
10591,CHEMBL2650
10593,CHEMBL3477
10594,CHEMBL2652
10595,CHEMBL4650
10599,CHEMBL275
10600,CHEMBL3382
10601,CHEMBL2712
10602,CHEMBL3478
10604,CHEMBL3479
10605,CHEMBL3860
10607,CHEMBL2397
10608,CHEMBL4829
10612,CHEMBL2534
10613,CHEMBL2181
10614,CHEMBL2488
10616,CHEMBL2489
10617,CHEMBL2714
10618,CHEMBL2182
10619,CHEMBL4646
10620,CHEMBL5377
10621,CHEMBL2490
10622,CHEMBL2183
10623,CHEMBL4317
10624,CHEMBL3426
10625,CHEMBL3597
10626,CHEMBL4655
10627,CHEMBL3371
10628,CHEMBL3372
10630,CHEMBL4972
10634,CHEMBL4747
10635,CHEMBL2492
10636,CHEMBL2184
10639,CHEMBL2484
10640,CHEMBL4961
10642,CHEMBL1883
10646,CHEMBL2130
10647,CHEMBL276
10648,CHEMBL3197
10649,CHEMBL5105
10650,CHEMBL2485
10651,CHEMBL4892
10652,CHEMBL2486
10653,CHEMBL3974
10654,CHEMBL4744
10655,CHEMBL4075
10656,CHEMBL2487
10657,CHEMBL2114
10658,CHEMBL2115
10659,CHEMBL2116
10660,CHEMBL2117
10662,CHEMBL2453
10664,CHEMBL2118
10665,CHEMBL4648
10666,CHEMBL3198
10667,CHEMBL3199
10670,CHEMBL1882
10673,CHEMBL4813
10674,CHEMBL2525
10675,CHEMBL2522
10676,CHEMBL4814
10677,CHEMBL4613
10678,CHEMBL3200
10679,CHEMBL4080
10682,CHEMBL3425
10683,CHEMBL3418
10684,CHEMBL3913
10685,CHEMBL4027
10686,CHEMBL4815
10687,CHEMBL4572
10688,CHEMBL277
10689,CHEMBL2523
10691,CHEMBL3867
10692,CHEMBL4607
10693,CHEMBL2524
10694,CHEMBL3201
10695,CHEMBL2431
10696,CHEMBL4816
10697,CHEMBL3253
10698,CHEMBL4817
10701,CHEMBL2526
10702,CHEMBL3922
10703,CHEMBL2432
